CUSIP,SEQ,START,COUPON,MARGIN,SIMPNDX,FIRSTRST,CPNFRQ,FORMULA
3130ARZT1,1,2022-05-27,3.45,0.0,0,N/A,S,3.45
3130ARZU8,1,2022-05-24,2.15,0.0,0,N/A,S,2.15
3130ARZU8,2,2022-11-22,3.15,0.0,0,N/A,S,3.15
3130ARZU8,3,2023-05-22,4.15,0.0,0,N/A,S,4.15
3130ARZV6,1,2022-05-27,3.05,0.0,0,N/A,S,3.05
3130ARZW4,1,2022-05-27,3.5,0.0,0,N/A,S,3.5
3130ARZX2,1,2022-05-05,3.09,0.0,0,N/A,S,3.09
3130ARZY0,1,2022-05-26,3.5,0.0,0,N/A,S,3.5
3130ARZZ7,1,2022-05-27,3.4,0.0,0,N/A,S,3.4
3130AS2A6,1,2022-05-05,3.05,0.0,0,N/A,M,3.05
3130AS2B4,1,2022-05-26,2.25,0.0,0,N/A,S,2.25
3130ARYK1,1,2022-05-03,2.125,0.0,0,N/A,S,2.125
3130ARYL9,1,2022-05-27,2.0,0.0,0,N/A,S,2.0
3130ARYL9,2,2022-11-25,3.0,0.0,0,N/A,S,3.0
3130ARYM7,1,2022-05-25,2.25,0.0,0,N/A,S,2.25
3130ARYN5,1,2022-05-12,1.65,0.0,0,N/A,Q,1.65
3130ARYN5,2,2022-08-12,2.15,0.0,0,N/A,Q,2.15
3130ARYN5,3,2022-11-12,2.65,0.0,0,N/A,Q,2.65
3130ARYN5,4,2023-02-12,3.15,0.0,0,N/A,Q,3.15
3130ARYP0,1,2022-05-05,3.1,0.0,0,N/A,S,3.1
3130ARYQ8,1,2022-05-27,3.375,0.0,0,N/A,S,3.375
3130ARYR6,1,2022-05-26,3.1,0.0,0,N/A,S,3.1
3130ARYS4,1,2022-05-26,3.35,0.0,0,N/A,S,3.35
3130ARYT2,1,2022-05-26,3.75,0.0,0,N/A,S,3.75
3130ARYU9,1,2022-05-23,3.0,0.0,0,N/A,S,3.0
3130ARYV7,1,2022-05-26,3.25,0.0,0,N/A,S,3.25
3130ARYV7,2,2023-05-26,3.5,0.0,0,N/A,S,3.5
3130ARYV7,3,2024-05-26,4.0,0.0,0,N/A,S,4.0
3130ARYV7,4,2025-05-26,4.5,0.0,0,N/A,S,4.5
3130ARYV7,5,2026-05-26,5.0,0.0,0,N/A,S,5.0
3130ARYW5,1,2022-05-05,2.08,0.0,0,N/A,S,2.08
3130ARYX3,1,2022-05-10,4.0,0.0,0,N/A,S,4.0
3130ARYY1,1,2022-05-23,3.0,0.0,0,N/A,S,3.0
3130ARYY1,2,2022-11-23,3.25,0.0,0,N/A,S,3.25
